actual_player,predicted_player,top_3_predictions,top_3_correct,top_5_predictions,top_5_correct,top_7_predictions,top_7_correct,top_10_predictions,top_10_correct
Tracy McGrady,Yao Ming,"['Shane Battier', 'Tracy McGrady', 'Yao Ming']",True,"['Luis Scola', 'Trevor Ariza', 'Shane Battier', 'Tracy McGrady', 'Yao Ming']",True,"['Terrence Jones', 'Patrick Patterson', 'Luis Scola', 'Trevor Ariza', 'Shane Battier', 'Tracy McGrady', 'Yao Ming']",True,"['Zaza Pachulia', 'Kyle Lowry', 'Rafer Alston', 'Terrence Jones', 'Patrick Patterson', 'Luis Scola', 'Trevor Ariza', 'Shane Battier', 'Tracy McGrady', 'Yao Ming']",True
Marko Jaric,Marko Jaric,"['Kevin Love', 'Craig Smith', 'Marko Jaric']",True,"['Corey Brewer', 'Randy Foye', 'Kevin Love', 'Craig Smith', 'Marko Jaric']",True,"['Joe Johnson', 'Luke Ridnour', 'Corey Brewer', 'Randy Foye', 'Kevin Love', 'Craig Smith', 'Marko Jaric']",True,"['Ryan Gomes', 'Al Jefferson', 'Josh Smith', 'Joe Johnson', 'Luke Ridnour', 'Corey Brewer', 'Randy Foye', 'Kevin Love', 'Craig Smith', 'Marko Jaric']",True
Carlos Boozer,Carlos Boozer,"['Matt Harpring', 'Deron Williams', 'Carlos Boozer']",True,"['Kyle Korver', 'Paul Millsap', 'Matt Harpring', 'Deron Williams', 'Carlos Boozer']",True,"['C.J. Miles', 'Mehmet Okur', 'Kyle Korver', 'Paul Millsap', 'Matt Harpring', 'Deron Williams', 'Carlos Boozer']",True,"['Jarron Collins', 'Ronnie Brewer', 'Andrei Kirilenko', 'C.J. Miles', 'Mehmet Okur', 'Kyle Korver', 'Paul Millsap', 'Matt Harpring', 'Deron Williams', 'Carlos Boozer']",True
Mikki Moore,Mikki Moore,"['Metta World Peace', 'Spencer Hawes', 'Mikki Moore']",True,"['Shareef Abdur-Rahim', 'Mike Bibby', 'Metta World Peace', 'Spencer Hawes', 'Mikki Moore']",True,"['Kevin Martin', 'Quincy Douby', 'Shareef Abdur-Rahim', 'Mike Bibby', 'Metta World Peace', 'Spencer Hawes', 'Mikki Moore']",True,"['Tyreke Evans', 'Francisco Garcia', 'John Salmons', 'Kevin Martin', 'Quincy Douby', 'Shareef Abdur-Rahim', 'Mike Bibby', 'Metta World Peace', 'Spencer Hawes', 'Mikki Moore']",True
Michael Doleac,Ryan Gomes,"['Rashad McCants', 'Randy Foye', 'Ryan Gomes']",False,"['Marko Jaric', 'Kevin Love', 'Rashad McCants', 'Randy Foye', 'Ryan Gomes']",False,"['Nikola Pekovic', 'J.J. Barea', 'Marko Jaric', 'Kevin Love', 'Rashad McCants', 'Randy Foye', 'Ryan Gomes']",False,"['Michael Beasley', 'Joe Johnson', 'Luke Ridnour', 'Nikola Pekovic', 'J.J. Barea', 'Marko Jaric', 'Kevin Love', 'Rashad McCants', 'Randy Foye', 'Ryan Gomes']",False
Pau Gasol,Mike Conley,"['Pau Gasol', 'Mike Miller', 'Mike Conley']",True,"['Marc Gasol', 'Rudy Gay', 'Pau Gasol', 'Mike Miller', 'Mike Conley']",True,"['Kyle Lowry', 'Juan Carlos Navarro', 'Marc Gasol', 'Rudy Gay', 'Pau Gasol', 'Mike Miller', 'Mike Conley']",True,"['O.J. Mayo', 'Stromile Swift', 'Hakim Warrick', 'Kyle Lowry', 'Juan Carlos Navarro', 'Marc Gasol', 'Rudy Gay', 'Pau Gasol', 'Mike Miller', 'Mike Conley']",True
Acie Law,Al Horford,"['Al Jefferson', 'Joe Johnson', 'Al Horford']",False,"['Dwight Howard', 'Andre Iguodala', 'Al Jefferson', 'Joe Johnson', 'Al Horford']",False,"['Al Harrington', ""Amar'e Stoudemire"", 'Dwight Howard', 'Andre Iguodala', 'Al Jefferson', 'Joe Johnson', 'Al Horford']",False,"['Andrew Bogut', 'Josh Smith', 'Carmelo Anthony', 'Al Harrington', ""Amar'e Stoudemire"", 'Dwight Howard', 'Andre Iguodala', 'Al Jefferson', 'Joe Johnson', 'Al Horford']",False
Greg Buckner,Darko Milicic,"['Greg Buckner', 'Hakim Warrick', 'Darko Milicic']",True,"['Marc Gasol', 'Darrell Arthur', 'Greg Buckner', 'Hakim Warrick', 'Darko Milicic']",True,"['O.J. Mayo', 'Rudy Gay', 'Marc Gasol', 'Darrell Arthur', 'Greg Buckner', 'Hakim Warrick', 'Darko Milicic']",True,"['Kyle Lowry', 'Chucky Atkins', 'Mike Conley', 'O.J. Mayo', 'Rudy Gay', 'Marc Gasol', 'Darrell Arthur', 'Greg Buckner', 'Hakim Warrick', 'Darko Milicic']",True
Chris Mihm,Andrew Bynum,"['Jordan Farmar', 'Derek Fisher', 'Andrew Bynum']",False,"['Lamar Odom', 'Kobe Bryant', 'Jordan Farmar', 'Derek Fisher', 'Andrew Bynum']",False,"['Carlos Boozer', 'Jodie Meeks', 'Lamar Odom', 'Kobe Bryant', 'Jordan Farmar', 'Derek Fisher', 'Andrew Bynum']",False,"['Trevor Ariza', 'Pau Gasol', 'Didier Ilunga-Mbenga', 'Carlos Boozer', 'Jodie Meeks', 'Lamar Odom', 'Kobe Bryant', 'Jordan Farmar', 'Derek Fisher', 'Andrew Bynum']",False
Jason Kapono,Jason Kapono,"['Chris Bosh', 'Jose Calderon', 'Jason Kapono']",True,"['Joey Graham', 'DeMar DeRozan', 'Chris Bosh', 'Jose Calderon', 'Jason Kapono']",True,"['Anthony Parker', 'Andrea Bargnani', 'Joey Graham', 'DeMar DeRozan', 'Chris Bosh', 'Jose Calderon', 'Jason Kapono']",True,"[""Jermaine O'Neal"", 'Kyle Lowry', 'Jamario Moon', 'Anthony Parker', 'Andrea Bargnani', 'Joey Graham', 'DeMar DeRozan', 'Chris Bosh', 'Jose Calderon', 'Jason Kapono']",True
Nene Hilario,Nene Hilario,"['Ty Lawson', 'Linas Kleiza', 'Nene Hilario']",True,"['J.R. Smith', 'Kenyon Martin', 'Ty Lawson', 'Linas Kleiza', 'Nene Hilario']",True,"['Yakhouba Diawara', 'Wilson Chandler', 'J.R. Smith', 'Kenyon Martin', 'Ty Lawson', 'Linas Kleiza', 'Nene Hilario']",True,"['Marcus Camby', 'Steve Blake', 'Carmelo Anthony', 'Yakhouba Diawara', 'Wilson Chandler', 'J.R. Smith', 'Kenyon Martin', 'Ty Lawson', 'Linas Kleiza', 'Nene Hilario']",True
Andrei Kirilenko,Andrei Kirilenko,"['Al Jefferson', 'Deron Williams', 'Andrei Kirilenko']",True,"['C.J. Miles', 'Carlos Boozer', 'Al Jefferson', 'Deron Williams', 'Andrei Kirilenko']",True,"['Kyle Korver', 'Alec Burks', 'C.J. Miles', 'Carlos Boozer', 'Al Jefferson', 'Deron Williams', 'Andrei Kirilenko']",True,"['Mehmet Okur', 'Paul Millsap', 'Derrick Favors', 'Kyle Korver', 'Alec Burks', 'C.J. Miles', 'Carlos Boozer', 'Al Jefferson', 'Deron Williams', 'Andrei Kirilenko']",True
Rashard Lewis,Jameer Nelson,"['Hedo Turkoglu', 'Mickael Pietrus', 'Jameer Nelson']",False,"['J.J. Redick', 'Rashard Lewis', 'Hedo Turkoglu', 'Mickael Pietrus', 'Jameer Nelson']",True,"['Keith Bogans', 'Dwight Howard', 'J.J. Redick', 'Rashard Lewis', 'Hedo Turkoglu', 'Mickael Pietrus', 'Jameer Nelson']",True,"['Keyon Dooling', 'Marcin Gortat', 'Rafer Alston', 'Keith Bogans', 'Dwight Howard', 'J.J. Redick', 'Rashard Lewis', 'Hedo Turkoglu', 'Mickael Pietrus', 'Jameer Nelson']",True
Amir Johnson,Antonio McDyess,"['Amir Johnson', 'Allen Iverson', 'Antonio McDyess']",True,"['Chauncey Billups', 'Arron Afflalo', 'Amir Johnson', 'Allen Iverson', 'Antonio McDyess']",True,"['Andre Drummond', 'Jason Maxiell', 'Chauncey Billups', 'Arron Afflalo', 'Amir Johnson', 'Allen Iverson', 'Antonio McDyess']",True,"['Rasheed Wallace', 'Rodney Stuckey', 'Ben Gordon', 'Andre Drummond', 'Jason Maxiell', 'Chauncey Billups', 'Arron Afflalo', 'Amir Johnson', 'Allen Iverson', 'Antonio McDyess']",True
Corey Maggette,Andris Biedrins,"['C.J. Watson', 'Anthony Morrow', 'Andris Biedrins']",False,"['Kelenna Azubuike', 'Jamal Crawford', 'C.J. Watson', 'Anthony Morrow', 'Andris Biedrins']",False,"['Stephen Jackson', 'Monta Ellis', 'Kelenna Azubuike', 'Jamal Crawford', 'C.J. Watson', 'Anthony Morrow', 'Andris Biedrins']",False,"['David Lee', 'Anthony Randolph', 'Corey Maggette', 'Stephen Jackson', 'Monta Ellis', 'Kelenna Azubuike', 'Jamal Crawford', 'C.J. Watson', 'Anthony Morrow', 'Andris Biedrins']",True
Luol Deng,Tyrus Thomas,"['Thabo Sefolosha', 'Luol Deng', 'Tyrus Thomas']",True,"['Kirk Hinrich', 'Taj Gibson', 'Thabo Sefolosha', 'Luol Deng', 'Tyrus Thomas']",True,"['Tony Snell', 'Joakim Noah', 'Kirk Hinrich', 'Taj Gibson', 'Thabo Sefolosha', 'Luol Deng', 'Tyrus Thomas']",True,"['Derrick Rose', 'P.J. Brown', 'Tim Thomas', 'Tony Snell', 'Joakim Noah', 'Kirk Hinrich', 'Taj Gibson', 'Thabo Sefolosha', 'Luol Deng', 'Tyrus Thomas']",True
Maurice Evans,Joe Johnson,"['Jamal Crawford', 'Josh Smith', 'Joe Johnson']",False,"['Dwight Howard', 'Marvin Williams', 'Jamal Crawford', 'Josh Smith', 'Joe Johnson']",False,"['J.R. Smith', 'Deron Williams', 'Dwight Howard', 'Marvin Williams', 'Jamal Crawford', 'Josh Smith', 'Joe Johnson']",False,"['Monta Ellis', 'Jarrett Jack', 'Carmelo Anthony', 'J.R. Smith', 'Deron Williams', 'Dwight Howard', 'Marvin Williams', 'Jamal Crawford', 'Josh Smith', 'Joe Johnson']",False
Chris Quinn,Dwyane Wade,"['Chris Quinn', 'Daequan Cook', 'Dwyane Wade']",True,"['Chris Andersen', 'Chris Bosh', 'Chris Quinn', 'Daequan Cook', 'Dwyane Wade']",True,"['Shawn Marion', 'Mario Chalmers', 'Chris Andersen', 'Chris Bosh', 'Chris Quinn', 'Daequan Cook', 'Dwyane Wade']",True,"['Michael Beasley', 'Joel Anthony', 'Udonis Haslem', 'Shawn Marion', 'Mario Chalmers', 'Chris Andersen', 'Chris Bosh', 'Chris Quinn', 'Daequan Cook', 'Dwyane Wade']",True
Zydrunas Ilgauskas,Zydrunas Ilgauskas,"['Wally Szczerbiak', 'LeBron James', 'Zydrunas Ilgauskas']",True,"['Sasha Pavlovic', 'Mo Williams', 'Wally Szczerbiak', 'LeBron James', 'Zydrunas Ilgauskas']",True,"['Anderson Varejao', 'Tristan Thompson', 'Sasha Pavlovic', 'Mo Williams', 'Wally Szczerbiak', 'LeBron James', 'Zydrunas Ilgauskas']",True,"['Kyrie Irving', 'Delonte West', 'Daniel Gibson', 'Anderson Varejao', 'Tristan Thompson', 'Sasha Pavlovic', 'Mo Williams', 'Wally Szczerbiak', 'LeBron James', 'Zydrunas Ilgauskas']",True
James Singleton,Dirk Nowitzki,"['J.J. Barea', 'Erick Dampier', 'Dirk Nowitzki']",False,"['Jason Terry', 'Jason Kidd', 'J.J. Barea', 'Erick Dampier', 'Dirk Nowitzki']",False,"['James Singleton', 'Devean George', 'Jason Terry', 'Jason Kidd', 'J.J. Barea', 'Erick Dampier', 'Dirk Nowitzki']",True,"['Devin Harris', 'Brandon Bass', 'Josh Howard', 'James Singleton', 'Devean George', 'Jason Terry', 'Jason Kidd', 'J.J. Barea', 'Erick Dampier', 'Dirk Nowitzki']",True
Royal Ivey,Thaddeus Young,"['Samuel Dalembert', 'Willie Green', 'Thaddeus Young']",False,"['Lou Williams', 'Andre Iguodala', 'Samuel Dalembert', 'Willie Green', 'Thaddeus Young']",False,"['Spencer Hawes', 'Royal Ivey', 'Lou Williams', 'Andre Iguodala', 'Samuel Dalembert', 'Willie Green', 'Thaddeus Young']",True,"['Rodney Carney', 'Reggie Evans', 'Theo Ratliff', 'Spencer Hawes', 'Royal Ivey', 'Lou Williams', 'Andre Iguodala', 'Samuel Dalembert', 'Willie Green', 'Thaddeus Young']",True
Joakim Noah,Joakim Noah,"['Kirk Hinrich', 'Derrick Rose', 'Joakim Noah']",True,"['Drew Gooden', 'Luol Deng', 'Kirk Hinrich', 'Derrick Rose', 'Joakim Noah']",True,"['Ben Gordon', 'John Salmons', 'Drew Gooden', 'Luol Deng', 'Kirk Hinrich', 'Derrick Rose', 'Joakim Noah']",True,"['Mike Dunleavy', 'Jimmy Butler', 'Larry Hughes', 'Ben Gordon', 'John Salmons', 'Drew Gooden', 'Luol Deng', 'Kirk Hinrich', 'Derrick Rose', 'Joakim Noah']",True
Andres Nocioni,Ben Gordon,"['Andres Nocioni', 'Derrick Rose', 'Ben Gordon']",True,"['Kirk Hinrich', 'Joakim Noah', 'Andres Nocioni', 'Derrick Rose', 'Ben Gordon']",True,"['Brad Miller', 'Luol Deng', 'Kirk Hinrich', 'Joakim Noah', 'Andres Nocioni', 'Derrick Rose', 'Ben Gordon']",True,"['Drew Gooden', 'Jimmy Butler', 'Ben Wallace', 'Brad Miller', 'Luol Deng', 'Kirk Hinrich', 'Joakim Noah', 'Andres Nocioni', 'Derrick Rose', 'Ben Gordon']",True
Jake Voskuhl,Jason Kapono,"['Jose Calderon', 'Chris Bosh', 'Jason Kapono']",False,"['DeMar DeRozan', 'Joey Graham', 'Jose Calderon', 'Chris Bosh', 'Jason Kapono']",False,"['Jamario Moon', 'Anthony Parker', 'DeMar DeRozan', 'Joey Graham', 'Jose Calderon', 'Chris Bosh', 'Jason Kapono']",False,"['Jonas Valanciunas', 'Kyle Lowry', 'Andrea Bargnani', 'Jamario Moon', 'Anthony Parker', 'DeMar DeRozan', 'Joey Graham', 'Jose Calderon', 'Chris Bosh', 'Jason Kapono']",False
Luke Walton,Luke Walton,"['Lamar Odom', 'Pau Gasol', 'Luke Walton']",True,"['Kobe Bryant', 'Sasha Vujacic', 'Lamar Odom', 'Pau Gasol', 'Luke Walton']",True,"['Metta World Peace', 'Ronny Turiaf', 'Kobe Bryant', 'Sasha Vujacic', 'Lamar Odom', 'Pau Gasol', 'Luke Walton']",True,"['Shannon Brown', 'Derek Fisher', 'Andrew Bynum', 'Metta World Peace', 'Ronny Turiaf', 'Kobe Bryant', 'Sasha Vujacic', 'Lamar Odom', 'Pau Gasol', 'Luke Walton']",True
Josh Powell,Kobe Bryant,"['Jordan Farmar', 'Derek Fisher', 'Kobe Bryant']",False,"['Josh Powell', 'Lamar Odom', 'Jordan Farmar', 'Derek Fisher', 'Kobe Bryant']",True,"['Andrew Bynum', 'Pau Gasol', 'Josh Powell', 'Lamar Odom', 'Jordan Farmar', 'Derek Fisher', 'Kobe Bryant']",True,"['Jordan Hill', 'Sasha Vujacic', 'Luke Walton', 'Andrew Bynum', 'Pau Gasol', 'Josh Powell', 'Lamar Odom', 'Jordan Farmar', 'Derek Fisher', 'Kobe Bryant']",True
Dominic McGuire,Caron Butler,"['Dominic McGuire', 'Antawn Jamison', 'Caron Butler']",True,"['DeShawn Stevenson', 'Nick Young', 'Dominic McGuire', 'Antawn Jamison', 'Caron Butler']",True,"['Mike James', 'JaVale McGee', 'DeShawn Stevenson', 'Nick Young', 'Dominic McGuire', 'Antawn Jamison', 'Caron Butler']",True,"['John Wall', 'Andray Blatche', 'Darius Songaila', 'Mike James', 'JaVale McGee', 'DeShawn Stevenson', 'Nick Young', 'Dominic McGuire', 'Antawn Jamison', 'Caron Butler']",True
Luke Ridnour,Luke Ridnour,"['Luc Mbah a Moute', 'Charlie Bell', 'Luke Ridnour']",True,"['Ramon Sessions', 'Michael Redd', 'Luc Mbah a Moute', 'Charlie Bell', 'Luke Ridnour']",True,"['Richard Jefferson', 'Charlie Villanueva', 'Ramon Sessions', 'Michael Redd', 'Luc Mbah a Moute', 'Charlie Bell', 'Luke Ridnour']",True,"['Joe Johnson', 'Andrew Bogut', 'Ersan Ilyasova', 'Richard Jefferson', 'Charlie Villanueva', 'Ramon Sessions', 'Michael Redd', 'Luc Mbah a Moute', 'Charlie Bell', 'Luke Ridnour']",True
Travis Outlaw,Travis Outlaw,"['Steve Blake', 'Wesley Matthews', 'Travis Outlaw']",True,"['LaMarcus Aldridge', 'Nicolas Batum', 'Steve Blake', 'Wesley Matthews', 'Travis Outlaw']",True,"['Sergio Rodriguez', 'Rudy Fernandez', 'LaMarcus Aldridge', 'Nicolas Batum', 'Steve Blake', 'Wesley Matthews', 'Travis Outlaw']",True,"['Jerryd Bayless', 'Will Barton', 'Zach Randolph', 'Sergio Rodriguez', 'Rudy Fernandez', 'LaMarcus Aldridge', 'Nicolas Batum', 'Steve Blake', 'Wesley Matthews', 'Travis Outlaw']",True
Jason Kidd,Dirk Nowitzki,"['Jason Terry', 'Jason Kidd', 'Dirk Nowitzki']",True,"['J.J. Barea', 'Erick Dampier', 'Jason Terry', 'Jason Kidd', 'Dirk Nowitzki']",True,"['Josh Howard', 'James Singleton', 'J.J. Barea', 'Erick Dampier', 'Jason Terry', 'Jason Kidd', 'Dirk Nowitzki']",True,"['Devin Harris', 'Brandon Bass', 'Monta Ellis', 'Josh Howard', 'James Singleton', 'J.J. Barea', 'Erick Dampier', 'Jason Terry', 'Jason Kidd', 'Dirk Nowitzki']",True
Rodney Stuckey,Richard Hamilton,"['Tayshaun Prince', 'Rodney Stuckey', 'Richard Hamilton']",True,"['Rasheed Wallace', 'Jason Maxiell', 'Tayshaun Prince', 'Rodney Stuckey', 'Richard Hamilton']",True,"['Greg Monroe', 'Antonio McDyess', 'Rasheed Wallace', 'Jason Maxiell', 'Tayshaun Prince', 'Rodney Stuckey', 'Richard Hamilton']",True,"['Jonas Jerebko', 'Ronald Murray', 'Allen Iverson', 'Greg Monroe', 'Antonio McDyess', 'Rasheed Wallace', 'Jason Maxiell', 'Tayshaun Prince', 'Rodney Stuckey', 'Richard Hamilton']",True
Brandon Rush,Danny Granger,"['Jarrett Jack', 'Brandon Rush', 'Danny Granger']",True,"['Jeff Foster', 'A.J. Price', 'Jarrett Jack', 'Brandon Rush', 'Danny Granger']",True,"['Troy Murphy', 'David West', 'Jeff Foster', 'A.J. Price', 'Jarrett Jack', 'Brandon Rush', 'Danny Granger']",True,"['Marquis Daniels', 'C.J. Watson', 'Dahntay Jones', 'Troy Murphy', 'David West', 'Jeff Foster', 'A.J. Price', 'Jarrett Jack', 'Brandon Rush', 'Danny Granger']",True
Ben Gordon,Ben Gordon,"['Carlos Boozer', 'Andres Nocioni', 'Ben Gordon']",True,"['C.J. Watson', 'Derrick Rose', 'Carlos Boozer', 'Andres Nocioni', 'Ben Gordon']",True,"['Aaron Gray', 'Luol Deng', 'C.J. Watson', 'Derrick Rose', 'Carlos Boozer', 'Andres Nocioni', 'Ben Gordon']",True,"['Adrian Griffin', 'Brad Miller', 'Kirk Hinrich', 'Aaron Gray', 'Luol Deng', 'C.J. Watson', 'Derrick Rose', 'Carlos Boozer', 'Andres Nocioni', 'Ben Gordon']",True
Matt Bonner,Matt Bonner,"['Michael Finley', 'Manu Ginobili', 'Matt Bonner']",True,"['George Hill', 'Ime Udoka', 'Michael Finley', 'Manu Ginobili', 'Matt Bonner']",True,"['Tim Duncan', 'Bruce Bowen', 'George Hill', 'Ime Udoka', 'Michael Finley', 'Manu Ginobili', 'Matt Bonner']",True,"['Kurt Thomas', 'Tony Parker', 'Fabricio Oberto', 'Tim Duncan', 'Bruce Bowen', 'George Hill', 'Ime Udoka', 'Michael Finley', 'Manu Ginobili', 'Matt Bonner']",True
Joel Anthony,Dwyane Wade,"['Michael Beasley', 'Mario Chalmers', 'Dwyane Wade']",False,"['Joel Anthony', 'Jamario Moon', 'Michael Beasley', 'Mario Chalmers', 'Dwyane Wade']",True,"['Daequan Cook', 'LeBron James', 'Joel Anthony', 'Jamario Moon', 'Michael Beasley', 'Mario Chalmers', 'Dwyane Wade']",True,"['Mark Blount', 'Udonis Haslem', ""Jermaine O'Neal"", 'Daequan Cook', 'LeBron James', 'Joel Anthony', 'Jamario Moon', 'Michael Beasley', 'Mario Chalmers', 'Dwyane Wade']",True
Josh Smith,Joe Johnson,"['Jamal Crawford', 'Josh Smith', 'Joe Johnson']",True,"['Dwight Howard', 'Marvin Williams', 'Jamal Crawford', 'Josh Smith', 'Joe Johnson']",True,"['Monta Ellis', 'Deron Williams', 'Dwight Howard', 'Marvin Williams', 'Jamal Crawford', 'Josh Smith', 'Joe Johnson']",True,"['Carmelo Anthony', 'Jarrett Jack', 'J.R. Smith', 'Monta Ellis', 'Deron Williams', 'Dwight Howard', 'Marvin Williams', 'Jamal Crawford', 'Josh Smith', 'Joe Johnson']",True
Hedo Turkoglu,Hedo Turkoglu,"['J.J. Redick', 'Dwight Howard', 'Hedo Turkoglu']",True,"['Rashard Lewis', 'Jameer Nelson', 'J.J. Redick', 'Dwight Howard', 'Hedo Turkoglu']",True,"['Darko Milicic', 'Grant Hill', 'Rashard Lewis', 'Jameer Nelson', 'J.J. Redick', 'Dwight Howard', 'Hedo Turkoglu']",True,"['Mickael Pietrus', 'Keith Bogans', 'Glen Davis', 'Darko Milicic', 'Grant Hill', 'Rashard Lewis', 'Jameer Nelson', 'J.J. Redick', 'Dwight Howard', 'Hedo Turkoglu']",True
Chris Duhon,Chris Duhon,"['Danilo Gallinari', 'David Lee', 'Chris Duhon']",True,"['Nate Robinson', 'Jamal Crawford', 'Danilo Gallinari', 'David Lee', 'Chris Duhon']",True,"['Carmelo Anthony', 'Jared Jeffries', 'Nate Robinson', 'Jamal Crawford', 'Danilo Gallinari', 'David Lee', 'Chris Duhon']",True,"['Wilson Chandler', 'Quentin Richardson', 'J.R. Smith', 'Carmelo Anthony', 'Jared Jeffries', 'Nate Robinson', 'Jamal Crawford', 'Danilo Gallinari', 'David Lee', 'Chris Duhon']",True
Mickael Pietrus,Mickael Pietrus,"['Jameer Nelson', 'Rashard Lewis', 'Mickael Pietrus']",True,"['Dwight Howard', 'Hedo Turkoglu', 'Jameer Nelson', 'Rashard Lewis', 'Mickael Pietrus']",True,"['J.J. Redick', 'Keith Bogans', 'Dwight Howard', 'Hedo Turkoglu', 'Jameer Nelson', 'Rashard Lewis', 'Mickael Pietrus']",True,"['Tony Battie', 'Rafer Alston', 'Marcin Gortat', 'J.J. Redick', 'Keith Bogans', 'Dwight Howard', 'Hedo Turkoglu', 'Jameer Nelson', 'Rashard Lewis', 'Mickael Pietrus']",True
Raja Bell,Steve Nash,"['Matt Barnes', ""Shaquille O'Neal"", 'Steve Nash']",False,"['Vince Carter', 'P.J. Tucker', 'Matt Barnes', ""Shaquille O'Neal"", 'Steve Nash']",False,"['Shawn Marion', 'Shannon Brown', 'Vince Carter', 'P.J. Tucker', 'Matt Barnes', ""Shaquille O'Neal"", 'Steve Nash']",False,"['Robin Lopez', 'Raja Bell', 'Leandro Barbosa', 'Shawn Marion', 'Shannon Brown', 'Vince Carter', 'P.J. Tucker', 'Matt Barnes', ""Shaquille O'Neal"", 'Steve Nash']",True
Dirk Nowitzki,Dirk Nowitzki,"['Jason Terry', 'Erick Dampier', 'Dirk Nowitzki']",True,"['Jason Kidd', 'J.J. Barea', 'Jason Terry', 'Erick Dampier', 'Dirk Nowitzki']",True,"['Devean George', 'Brandon Bass', 'Jason Kidd', 'J.J. Barea', 'Jason Terry', 'Erick Dampier', 'Dirk Nowitzki']",True,"['James Singleton', 'Devin Harris', 'Josh Howard', 'Devean George', 'Brandon Bass', 'Jason Kidd', 'J.J. Barea', 'Jason Terry', 'Erick Dampier', 'Dirk Nowitzki']",True
Von Wafer,Yao Ming,"['Trevor Ariza', 'Shane Battier', 'Yao Ming']",False,"['Tracy McGrady', 'Von Wafer', 'Trevor Ariza', 'Shane Battier', 'Yao Ming']",True,"['Patrick Patterson', 'Luis Scola', 'Tracy McGrady', 'Von Wafer', 'Trevor Ariza', 'Shane Battier', 'Yao Ming']",True,"['Kyle Lowry', 'Rafer Alston', 'Metta World Peace', 'Patrick Patterson', 'Luis Scola', 'Tracy McGrady', 'Von Wafer', 'Trevor Ariza', 'Shane Battier', 'Yao Ming']",True
Mark Madsen,Kevin Love,"['Corey Brewer', 'Randy Foye', 'Kevin Love']",False,"['Mike Miller', 'Luke Ridnour', 'Corey Brewer', 'Randy Foye', 'Kevin Love']",False,"['Anthony Tolliver', 'Joe Johnson', 'Mike Miller', 'Luke Ridnour', 'Corey Brewer', 'Randy Foye', 'Kevin Love']",False,"['Josh Smith', 'Dante Cunningham', 'Craig Smith', 'Anthony Tolliver', 'Joe Johnson', 'Mike Miller', 'Luke Ridnour', 'Corey Brewer', 'Randy Foye', 'Kevin Love']",False
Jamal Crawford,Andris Biedrins,"['Corey Maggette', 'Anthony Morrow', 'Andris Biedrins']",False,"['Anthony Randolph', 'David Lee', 'Corey Maggette', 'Anthony Morrow', 'Andris Biedrins']",False,"['Andre Iguodala', 'C.J. Watson', 'Anthony Randolph', 'David Lee', 'Corey Maggette', 'Anthony Morrow', 'Andris Biedrins']",False,"['Al Harrington', 'Monta Ellis', 'Jamal Crawford', 'Andre Iguodala', 'C.J. Watson', 'Anthony Randolph', 'David Lee', 'Corey Maggette', 'Anthony Morrow', 'Andris Biedrins']",True
Mo Williams,Mo Williams,"['Sasha Pavlovic', 'LeBron James', 'Mo Williams']",True,"['Daniel Gibson', 'Anderson Varejao', 'Sasha Pavlovic', 'LeBron James', 'Mo Williams']",True,"['J.J. Hickson', 'Kyrie Irving', 'Daniel Gibson', 'Anderson Varejao', 'Sasha Pavlovic', 'LeBron James', 'Mo Williams']",True,"['Larry Hughes', 'Wally Szczerbiak', 'Delonte West', 'J.J. Hickson', 'Kyrie Irving', 'Daniel Gibson', 'Anderson Varejao', 'Sasha Pavlovic', 'LeBron James', 'Mo Williams']",True
Michael Redd,Luke Ridnour,"['Charlie Villanueva', 'Luc Mbah a Moute', 'Luke Ridnour']",False,"['Michael Redd', 'Ramon Sessions', 'Charlie Villanueva', 'Luc Mbah a Moute', 'Luke Ridnour']",True,"['Charlie Bell', 'Ersan Ilyasova', 'Michael Redd', 'Ramon Sessions', 'Charlie Villanueva', 'Luc Mbah a Moute', 'Luke Ridnour']",True,"['Joe Johnson', 'Richard Jefferson', 'Andrew Bogut', 'Charlie Bell', 'Ersan Ilyasova', 'Michael Redd', 'Ramon Sessions', 'Charlie Villanueva', 'Luc Mbah a Moute', 'Luke Ridnour']",True
Tony Allen,Ray Allen,"['Stephon Marbury', 'Tony Allen', 'Ray Allen']",True,"['Paul Pierce', 'Rajon Rondo', 'Stephon Marbury', 'Tony Allen', 'Ray Allen']",True,"['Glen Davis', 'Kevin Garnett', 'Paul Pierce', 'Rajon Rondo', 'Stephon Marbury', 'Tony Allen', 'Ray Allen']",True,"['Eddie House', 'Kendrick Perkins', 'Leon Powe', 'Glen Davis', 'Kevin Garnett', 'Paul Pierce', 'Rajon Rondo', 'Stephon Marbury', 'Tony Allen', 'Ray Allen']",True
Dahntay Jones,J.R. Smith,"['Chauncey Billups', 'Chris Andersen', 'J.R. Smith']",False,"['Kenyon Martin', 'Carmelo Anthony', 'Chauncey Billups', 'Chris Andersen', 'J.R. Smith']",False,"['Nene Hilario', 'Dahntay Jones', 'Kenyon Martin', 'Carmelo Anthony', 'Chauncey Billups', 'Chris Andersen', 'J.R. Smith']",True,"['Randy Foye', 'Kenneth Faried', 'Ty Lawson', 'Nene Hilario', 'Dahntay Jones', 'Kenyon Martin', 'Carmelo Anthony', 'Chauncey Billups', 'Chris Andersen', 'J.R. Smith']",True
